"Outcome","ID","bp_genA","bp_genT","bp_genC","bp_genG","bp_genome_total","fr_genA","fr_genT","fr_genC","fr_genG","genomic_topological_entropy_score","genomic_chargaff_score_pf","genomic_chargaff_score_ct","genomic_shannon_score","n_cds_plus","n_cds_minus","n_cds_total","bp_cdsA","bp_cdsT","bp_cdsC","bp_cdsG","bp_cds_total","fr_cdsA","fr_cdsT","fr_cdsC","fr_cdsG","cds_topological_entropy_score","cds_chargaff_score_pf","cds_chargaff_score_ct","cds_shannon_score","n_ncRNA_plus","n_ncRNA_minus","n_ncRNA_total","bp_ncRNA_A","bp_ncRNA_T","bp_ncRNA_C","bp_ncRNA_G","bp_ncRNA_total","fr_ncRNA_A","fr_ncRNA_T","fr_ncRNA_C","fr_ncRNA_G","ncRNA_topological_entropy_score","ncRNA_chargaff_score_pf","ncRNA_chargaff_score_ct","ncRNA_shannon_score","n_tRNA_plus","n_tRNA_minus","n_tRNA_total","bp_tRNA_A","bp_tRNA_T","bp_tRNA_C","bp_tRNA_G","bp_tRNA_total","fr_tRNA_A","fr_tRNA_T","fr_tRNA_C","fr_tRNA_G","tRNA_topological_entropy_score","tRNA_chargaff_score_pf","tRNA_chargaff_score_ct","tRNA_shannon_score","n_rRNA_plus","n_rRNA_minus","n_rRNA_total","bp_rRNA_A","bp_rRNA_T","bp_rRNA_C","bp_rRNA_G","bp_rRNA_total","fr_rRNA_A","fr_rRNA_T","fr_rRNA_C","fr_rRNA_G","rRNA_topological_entropy_score","rRNA_chargaff_score_pf","rRNA_chargaff_score_ct","rRNA_shannon_score"
"Archaea","NC_013741",452769,452260,326684,328909,1560622,0.29,0.29,0.21,0.21,0.9502,0.004,0.9961,1.9815,844,896,1740,436675,362376,229525,357400,1385976,0.32,0.26,0.16,0.26,0.8983,0.3528,0.7138,1.9499,1,1,2,116,68,167,209,560,0.21,0.12,0.3,0.37,0.8545,0.3747,0.7025,1.8845,24,23,47,535,593,1156,1282,3566,0.15,0.17,0.32,0.36,0.8644,0.1832,0.8398,1.8873,1,2,3,955,659,1316,1680,4610,0.21,0.14,0.29,0.36,0.8865,0.2936,0.7477,1.9147
"Archaea","NC_015320",500556,506542,447794,447051,1901943,0.26,0.27,0.24,0.24,0.9543,0.0068,0.9933,1.9975,1022,977,1999,470520,374570,336021,442921,1624032,0.29,0.23,0.2,0.27,0.9037,0.305,0.7443,1.9714,1,1,2,109,76,166,212,563,0.2,0.13,0.29,0.37,0.8615,0.3962,0.6953,1.8763,23,23,46,534,574,1109,1248,3465,0.15,0.16,0.32,0.36,0.8597,0.2039,0.8262,1.8863,2,1,3,970,689,1274,1640,4573,0.21,0.16,0.28,0.35,0.8914,0.2527,0.7775,1.935
"Archaea","NZ_CP012850",1129864,1129640,585429,585773,3430706,0.33,0.33,0.17,0.17,0.9405,4e-04,0.9996,1.9261,1233,1228,2461,622857,512197,287531,347436,1770021,0.36,0.29,0.16,0.2,0.8903,0.2489,0.788,1.9177,1,1,2,173,147,112,175,607,0.29,0.24,0.18,0.29,0.907,0.3625,0.7007,1.962,22,23,45,641,725,992,1096,3454,0.19,0.2,0.28,0.33,0.813,0.3313,0.7408,1.9153,4,3,7,3463,2806,3039,4083,13391,0.25,0.2,0.24,0.31,0.9176,0.224,0.8011,1.9811
"Archaea","NZ_CP021324",464438,468067,215792,211779,1360076,0.34,0.34,0.16,0.16,0.9274,0.0133,0.9868,1.8981,659,710,1369,380779,298697,137972,181168,998616,0.39,0.3,0.14,0.18,0.8721,0.3006,0.7499,1.8735,1,1,2,181,122,123,166,592,0.31,0.2,0.21,0.28,0.9022,0.3419,0.7251,1.9651,14,29,43,662,757,891,997,3307,0.2,0.23,0.27,0.3,0.8777,0.2399,0.7986,1.9583,2,1,3,1250,1028,981,1329,4588,0.26,0.23,0.23,0.29,0.9252,0.1873,0.8325,1.9908
"Archaea","NZ_CP007026",411277,412305,205756,202790,1232128,0.33,0.33,0.17,0.16,0.932,0.0085,0.9915,1.9165,620,635,1255,368319,283424,142574,183947,978264,0.38,0.29,0.14,0.19,0.8799,0.2986,0.7501,1.8927,1,1,2,177,121,123,171,592,0.3,0.2,0.21,0.29,0.9007,0.3512,0.7066,1.9707,20,22,42,625,716,895,993,3229,0.2,0.22,0.28,0.31,0.8701,0.2442,0.7945,1.9526,2,1,3,1251,1047,961,1338,4597,0.26,0.23,0.23,0.29,0.9155,0.1908,0.8302,1.99
"Archaea","NC_013849",615993,610942,481744,487587,2196266,0.28,0.28,0.22,0.22,0.9484,0.0101,0.9899,1.99,1251,1120,2371,593135,463241,352005,504137,1912518,0.31,0.24,0.18,0.26,0.8963,0.3535,0.71,1.9585,1,1,2,105,66,168,219,558,0.19,0.12,0.3,0.39,0.8633,0.3565,0.7128,1.8635,21,28,49,559,596,1196,1348,3699,0.15,0.16,0.32,0.36,0.864,0.1699,0.8495,1.8837,2,1,3,943,672,1321,1677,4613,0.2,0.15,0.3,0.36,0.8914,0.2525,0.7781,1.9205
"Archaea","NZ_CP087723",540494,543513,963601,964652,3012260,0.18,0.18,0.32,0.32,0.9303,0.0033,0.9967,1.9426,1481,1396,2877,491296,421434,811981,874198,2598909,0.19,0.16,0.31,0.34,0.8797,0.1973,0.8302,1.9237,1,1,2,127,78,255,286,746,0.17,0.11,0.34,0.39,0.8594,0.2854,0.7677,1.8332,20,27,47,621,676,1062,1185,3544,0.18,0.19,0.3,0.33,0.8752,0.1731,0.8495,1.9334,3,3,6,2140,1501,2393,3022,9056,0.24,0.16,0.27,0.33,0.899,0.3045,0.7411,1.9506
"Archaea","NZ_CP064789",529142,524146,944176,942764,2940228,0.18,0.18,0.32,0.32,0.9313,0.0055,0.9945,1.9412,1434,1407,2841,470853,399308,801724,832245,2504130,0.19,0.16,0.32,0.33,0.8776,0.1902,0.8369,1.9195,1,1,2,139,78,239,260,716,0.19,0.11,0.34,0.37,0.8721,0.295,0.7651,1.8563,27,20,47,617,677,1073,1174,3541,0.17,0.19,0.3,0.33,0.8761,0.152,0.8656,1.936,3,3,6,2131,1585,2418,2916,9050,0.22,0.16,0.3,0.32,0.9028,0.2463,0.7818,1.9389
"Archaea","NZ_CP119787",559392,563638,1118858,1112766,3354654,0.17,0.17,0.33,0.33,0.9278,0.0065,0.9935,1.9197,1725,1643,3368,500557,425378,965415,952479,2843829,0.18,0.15,0.34,0.33,0.8717,0.1941,0.8342,1.8964,1,1,2,129,89,234,256,708,0.18,0.13,0.33,0.36,0.8769,0.2241,0.815,1.8806,24,24,48,638,711,1086,1197,3632,0.18,0.2,0.3,0.33,0.8699,0.1936,0.8358,1.9328,3,3,6,2226,1627,2345,2838,9036,0.23,0.17,0.28,0.32,0.9072,0.2033,0.8189,1.9563
"Archaea","NC_015948",543585,543939,954961,952786,2995271,0.18,0.18,0.32,0.32,0.9333,0.0015,0.9985,1.9452,1476,1552,3028,505090,423645,849392,851916,2630043,0.19,0.16,0.32,0.32,0.8838,0.1908,0.8361,1.9265,1,1,2,140,98,266,284,788,0.18,0.13,0.33,0.36,0.8785,0.1971,0.8355,1.8761,26,22,48,648,711,1086,1191,3636,0.18,0.19,0.3,0.33,0.8752,0.1647,0.8563,1.9392,3,3,6,2259,1662,2312,2819,9052,0.23,0.17,0.28,0.32,0.9089,0.2199,0.8055,1.9569
